_step,val/loss,val/token_accuracy
1000,1.859704531037506,0.49198192929019463
2000,1.6096010908661345,0.5426721716242022
3000,1.530191892913979,0.5638134198505057
4000,1.4964280437478725,0.5718783478709358
5000,1.4803332431001348,0.5764676439730084
6000,1.4666570546348106,0.5797018794632043
7000,1.4675145529118514,0.5819673654080134
8000,1.4619491777087843,0.5825001783651305
9000,1.468206195027278,0.5813323416593645
10000,1.468187168257581,0.581954516378172
11000,1.4726803844282608,0.5823922317603599
12000,1.4717698486185748,0.5832257497586313
13000,1.47308020972422,0.582717651838068
14000,1.4803731602393815,0.5815769014299671
