_step,train/loss,val/loss,train/lr,val/token_accuracy,val/top5_token_accuracy
1000,1.9775538873672485,2.101606697184061,9.975532213589536e-05,0.4588888659227898,0.7356288160834026
2000,1.5307152557373047,1.7421453496145587,9.876587675653504e-05,0.5206611997220313,0.8103956159457902
3000,1.387479772567749,1.6258434858892177,9.70331620866046e-05,0.5465064017105226,0.8330447696541459
4000,1.2524691891670228,1.5645298952773008,9.458660455826779e-05,0.5588127493192159,0.8438658103979493
5000,1.1493777596950532,1.5370366166609868,9.146775368939582e-05,0.5653475872243372,0.8477357979384224
6000,1.1276589715480805,1.537716171119585,8.772957645436444e-05,0.5695656695710137,0.8487056592631834
7000,1.0477696895599364,1.5233047369301114,8.343555775390962e-05,0.5740434437669509,0.8515612900448725
8000,1.0140613996982575,1.5186880800345892,7.865862226062358e-05,0.5770518594285587,0.8526091168520809
9000,0.9769108808040619,1.5172572644361202,7.34798959502276e-05,0.5791874785697867,0.8542428747931258
10000,0.9685671961307526,1.5366449669073645,6.798732835135348e-05,0.5774430705782376,0.8515343169260466
11000,0.9506682801246643,1.538450926975761,6.227419891194412e-05,0.5762999511186566,0.852269883496427
12000,0.875078147649765,1.543727505046173,5.6437532848444176e-05,0.5772668574728168,0.8511690932542704
13000,0.9175636684894561,1.5405164584576243,5.057645338117752e-05,0.576695494440991,0.8517178146251634
14000,0.8982508230209351,1.5593212674824295,4.479049833962439e-05,0.575054648245883,0.8496763054471974
15000,0.8666973054409027,1.5673270388285192,3.9177929726461794e-05,0.5753810858575543,0.8498412949120318
16000,0.8712485444545746,1.5763235287343693,3.383406494877899e-05,0.575097569140107,0.8497528935161139
17000,0.841345624923706,1.5808981823038817,2.8849658056911596e-05,0.5743401495832778,0.8492175607116392
18000,0.8389877879619598,1.5852517688550136,2.4309358482082852e-05,0.5739257049634101,0.8481900135010001
19000,0.7995274263620377,1.5851972551240128,2.0290273447865432e-05,0.5748835549289301,0.8485887087389987
20000,0.8027033841609955,1.6004329608748395,1.6860658469824887e-05,0.5724405957922142,0.8471014324248191
21000,0.7896584820747375,1.6051833665937973,1.4078758182378831e-05,0.5717357438045789,0.8459683542149902
22000,0.7838280749320984,1.6058518688753092,1.1991817178948637e-05,0.5719775197120498,0.8466123677369586
23000,0.7844961494207382,1.60849083498878,1.0635277664147453e-05,0.5724906050086774,0.8467415242598997
24000,0.7785798883438111,1.6086982250457178,1.003217754415972e-05,0.5727056034497122,0.8462534452993695
25000,0.8510544836521149,1.6188336865553197,9.981039982931551e-05,0.569096687038907,0.8438252527506794
26000,0.8181421744823456,1.6179093068237946,9.890390433407518e-05,0.5706233401030517,0.8449914070912632
