_step,train/loss,val/loss,train/lr,val/token_accuracy,val/top5_token_accuracy
1000,1.547816994190216,1.692021039377835,0.0002930524196628646,0.528782541953637,0.8198569589512735
2000,1.2870322203636169,1.5104380525553505,0.0002660489510031024,0.5652302403747438,0.8507333821262343
3000,1.1356214678287506,1.4651508412486045,0.00022287349578942165,0.5781384687312074,0.859781073684924
4000,1.108366630077362,1.4455525039605015,0.00017043590191477786,0.5855466925130911,0.8619133458973965
5000,1.034680347442627,1.4513866380142026,0.00011712834024926539,0.5865986535433081,0.8619033040650332
6000,1.0090806603431701,1.4491960192442885,7.148221227620904e-05,0.5882196129947657,0.8618645165539569
7000,0.9760683286190033,1.448938072122552,4.080277510606035e-05,0.5888146024709837,0.8621503964017505
