_step,val/loss,val/token_accuracy
1000,2.1377003651232327,0.45280233550856436
2000,1.7619053312323185,0.5126284535843532
3000,1.6416894889572862,0.537887920209091
4000,1.5811394522175661,0.5506128471665463
5000,1.538664075747284,0.5595859186746583
6000,1.518180142648643,0.5660589334228168
7000,1.5043436929729133,0.5684532627686951
8000,1.5020661095241055,0.5697414856438561
9000,1.4966142984954984,0.5706613371113533
10000,1.5018625967624268,0.5705595465680607
11000,1.5019366156470164,0.5707997478570591
12000,1.496625220792848,0.5720127612639135
13000,1.4969544860800912,0.5719751559376229
14000,1.4970556475722825,0.572937337361341
15000,1.4951486538289218,0.5737599265072384
16000,1.4979173954970688,0.574556132329341
17000,1.4953378040185068,0.574753805613631
18000,1.4966483559510237,0.5747606961706966
19000,1.4983895627669448,0.5748796156604534
20000,1.4988589556859246,0.5748880813935243
21000,1.4961040437771127,0.5752086121796128
22000,1.4969994746569917,0.575730555781821
23000,1.4959713441186095,0.5760849510100168
24000,1.5007770927448019,0.5761741396164035
25000,1.5015785978556109,0.5766584792516982
26000,1.497721470412282,0.577260949642844
27000,1.4998435540779955,0.5760012740146803
28000,1.496561877625286,0.5768152002862642
29000,1.5001151744613606,0.5773085960400407
