_step,val/loss,val/token_accuracy
1000,1.692021039377835,0.528782541953637
2000,1.5104380525553505,0.5652302403747438
3000,1.4651508412486045,0.5781384687312074
4000,1.4455525039605015,0.5855466925130911
5000,1.4513866380142026,0.5865986535433081
6000,1.4491960192442885,0.5882196129947657
7000,1.448938072122552,0.5888146024709837
