_step,train/loss,val/loss,train/lr,val/token_accuracy,val/top5_token_accuracy
1000,1.724751715660095,1.8595595946135262,0.0002930524196628646,0.4953546777295707,0.782062170286595
2000,1.410680067539215,1.5967471172660983,0.0002660489510031024,0.5492059037079438,0.8363384732723552
3000,1.2946112251281738,1.508312494215252,0.00022287349578942165,0.5682455489520206,0.8515171874560995
4000,1.189830493927002,1.4748165482709927,0.00017043590191477786,0.5746965136250735,0.8560357175073592
5000,1.0953392434120177,1.4556533568330976,0.00011712834024926539,0.5835589350607011,0.8602673833505295
6000,1.1021276354789733,1.4470774110250029,7.148221227620904e-05,0.5854484485626416,0.8614404301913701
7000,1.0845355010032653,1.4503825621232744,4.080277510606035e-05,0.5859416482011114,0.8613742770068898
8000,1.0382478904724122,1.4474423217076915,3e-05,0.5868908341942157,0.8618631433032925
9000,1.0699943923950195,1.4494196641659438,3e-05,0.5857372799112747,0.8612718953652958
10000,1.014732757806778,1.453382195160135,3e-05,0.587016841108003,0.8620525477318799
11000,1.0655063247680665,1.457019381097696,3e-05,0.5863228202190092,0.8615174116095682
12000,1.065969340801239,1.4546996830889636,3e-05,0.5867756551671685,0.8613465155986391
13000,1.0136300551891326,1.4585109175516129,3e-05,0.5871838000095353,0.8612573257605025
14000,0.9886083149909973,1.457129294772603,3e-05,0.5875072833317876,0.8612917822175975
