_step,train/loss,val/loss,train/lr,val/token_accuracy,val/top5_token_accuracy
1000,1.9842193031311035,2.0676450581019177,0.0002930524196628646,0.4619691222679446,0.7338811201621926
2000,1.6114153122901917,1.7048557525646395,0.0002660489510031024,0.5237007215692413,0.8143548342042122
3000,1.3979746007919311,1.5951656413056214,0.00022287349578942165,0.5486058535813564,0.8359351828775624
4000,1.2994605100154877,1.5396257965162237,0.00017043590191477786,0.5612764870239048,0.8455228250047321
5000,1.2202254629135132,1.501538987318483,0.00011712834024926539,0.5695582958457498,0.8510310468614845
6000,1.178491485118866,1.4906497477432297,7.148221227620904e-05,0.5747409006457673,0.8532815087450546
7000,1.209145531654358,1.4660666203205577,4.080277510606035e-05,0.5793709239226682,0.8570878986968364
8000,1.1356148147583007,1.4650286332760185,3e-05,0.579359654947504,0.857588879363154
9000,1.1702971005439757,1.4646427404548463,3e-05,0.5800921474428227,0.8572490272789223
10000,1.1837223339080811,1.4657291087485427,3e-05,0.5810241229865436,0.8571211133445238
11000,1.104066799879074,1.4624677314954413,3e-05,0.5816897910776738,0.8575922414384312
12000,1.1763006579875945,1.4626296158806813,3e-05,0.5825964609392281,0.8586333488499717
13000,1.0636700129508971,1.463542905732198,3e-05,0.5827334691601974,0.8580803719479092
14000,1.0711928272247315,1.4654754142882132,3e-05,0.5823050444778131,0.8578180183321357
15000,1.0717687785625458,1.4601161735293433,3e-05,0.5837091363002302,0.8587142095850566
16000,1.1062389194965363,1.4603232186761292,3e-05,0.5842176299943638,0.8589573852092558
17000,1.0939906251430511,1.4600465042734467,3e-05,0.5844878913020721,0.8589006435299493
18000,1.1481311750411987,1.4590229403008514,3e-05,0.584262904299783,0.8592828046841503
19000,1.0930855357646942,1.4631473068187957,3e-05,0.5854712689366899,0.8585716645059265
20000,1.107499247789383,1.4575328012270734,3e-05,0.5862982637955731,0.8596888883696968
21000,1.0623931121826171,1.4652372545549452,3e-05,0.5854507083814999,0.85914816898052
22000,1.0799988913536072,1.4641753091388217,3e-05,0.58673578256067,0.8594261402982293
23000,1.1188640296459198,1.4648687665999094,3e-05,0.5862810644507518,0.8590615748803465
24000,1.0817679393291473,1.4621059340697657,3e-05,0.587890965705918,0.859682561982669
25000,1.0144219958782197,1.4705042724696011,3e-05,0.5862110769061719,0.8587488074534211
26000,1.0295857632160186,1.463416039177472,3e-05,0.5878106981879458,0.8596204829003952
27000,1.0292397379875182,1.4594659803592227,3e-05,0.5879097472809367,0.8594654833754755
28000,1.0443760097026824,1.464512038834096,3e-05,0.5888723667920819,0.8596279953818668
29000,0.9936928308010101,1.471042422042481,3e-05,0.5876728983729707,0.8598759152229187
