_step,val/loss,val/token_accuracy
1000,2.0676450581019177,0.4619691222679446
2000,1.7048557525646395,0.5237007215692413
3000,1.5951656413056214,0.5486058535813564
4000,1.5396257965162237,0.5612764870239048
5000,1.501538987318483,0.5695582958457498
6000,1.4906497477432297,0.5747409006457673
7000,1.4660666203205577,0.5793709239226682
8000,1.4650286332760185,0.579359654947504
9000,1.4646427404548463,0.5800921474428227
10000,1.4657291087485427,0.5810241229865436
11000,1.4624677314954413,0.5816897910776738
12000,1.4626296158806813,0.5825964609392281
13000,1.463542905732198,0.5827334691601974
14000,1.4654754142882132,0.5823050444778131
15000,1.4601161735293433,0.5837091363002302
16000,1.4603232186761292,0.5842176299943638
17000,1.4600465042734467,0.5844878913020721
18000,1.4590229403008514,0.584262904299783
19000,1.4631473068187957,0.5854712689366899
20000,1.4575328012270734,0.5862982637955731
21000,1.4652372545549452,0.5854507083814999
22000,1.4641753091388217,0.58673578256067
23000,1.4648687665999094,0.5862810644507518
24000,1.4621059340697657,0.587890965705918
25000,1.4705042724696011,0.5862110769061719
26000,1.463416039177472,0.5878106981879458
27000,1.4594659803592227,0.5879097472809367
28000,1.464512038834096,0.5888723667920819
29000,1.471042422042481,0.5876728983729707
