_step,val/loss,val/token_accuracy
1000,1.8595595946135262,0.4953546777295707
2000,1.5967471172660983,0.5492059037079438
3000,1.508312494215252,0.5682455489520206
4000,1.4748165482709927,0.5746965136250735
5000,1.4556533568330976,0.5835589350607011
6000,1.4470774110250029,0.5854484485626416
7000,1.4503825621232744,0.5859416482011114
8000,1.4474423217076915,0.5868908341942157
9000,1.4494196641659438,0.5857372799112747
10000,1.453382195160135,0.587016841108003
11000,1.457019381097696,0.5863228202190092
12000,1.4546996830889636,0.5867756551671685
13000,1.4585109175516129,0.5871838000095353
14000,1.457129294772603,0.5875072833317876
